target_name,target_type,source_id,source_type,title,url_or_path,language,date,source_tier,tags,notes
Boston Consulting Group,consulting_company,src_0014,web,Designing Organizational Change That Actually Sticks,https://hbr.org/2026/05/designing-organizational-change-that-actually-sticks?ab=HBRExecCH-content_masterclasses-image-3,en,2026,third_party,video;video_transcript,An HBR Executive Masterclass with Boston Consulting Group partners Julia Dhar and Kristy Ellmer on the five phases of organizational change.
Boston Consulting Group,consulting_company,src_0015,web,Annual Conference - Boston University Consulting Group,https://www.buconsultinggroup.com/conference,en,,official,video;video_transcript,The Annual Consulting Conference is BU Consulting Group's headline event which celebrates the contributions of industry professionals.
Boston Consulting Group,consulting_company,src_0016,web,Boston Consulting Group - Partners - AI & Big Data Expo Global,https://www.ai-expo.net/global/partners/boston-consulting-group/,en,,third_party,video;video_transcript,Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities.
Boston Consulting Group,consulting_company,src_0017,web,BCG at the 2026 Milken Institute Global Conference - LinkedIn,https://www.linkedin.com/posts/boston-consulting-group_bcg-at-the-2026-milken-institute-global-conference-activity-7454544892288131073-p9PD,en,2026,third_party,video;video_transcript,"Find BCG at the Milken Institute Global Conference in Los Angeles, California from May 3–6, 2026. BCG experts will connect with leaders on ..."
Boston Consulting Group,consulting_company,src_0018,video,Infinite possibilities: The talks of TED@BCG 2025 | TED Blog,https://blog.ted.com/infinite-possibilities-the-talks-of-tedbcg-2025/,en,2025,third_party,video;video_transcript,"The event: TED@BCG: Infinite Possibilities, the sixteenth event TED and Boston Consulting Group (BCG) have co-hosted to uplift forward-thinking speakers from around the globe. Hosted by TED’s head of media and curation Helen Walters. When and where: 20 at The Lana, Dorchester Collection, in"
Boston Consulting Group,consulting_company,src_0019,web,College of Business Executive Lecture Series Boston Consulting ...,https://news.alfaisal.edu/college-of-business-executive-lecture-series-boston-consulting-group-bcg-november-10-2021/,en,2021,third_party,video;video_transcript,"College of Business Executive Lecture Series Boston Consulting Group (BCG) November 10, 2021 College of BusinessEvents December 7, 2021 Updated:July 24, 2023 Boston Consulting Group (BCG) HR recruiting team gave a lecture titled “Consulting Careers – Get to know BCG” to the students of College of Business. The presentation took place on Wednesday, November 10th, 2021 online via zoom as part of COB Executive Lecture Series. The aim of the session was for BCG recruiting team to give an overview of"
Boston Consulting Group,consulting_company,src_0020,web,Digital HR Solutions and Strategy Consulting | BCG,https://www.bcg.com/capabilities/people-strategy/digital-human-resources,en,,third_party,video;video_transcript,"Explore how BCG transforms HR for the digital age, enhancing employee journeys and leveraging analytics for strategic workforce planning."
Boston Consulting Group,consulting_company,src_0021,web,BCG's HR Matrix Boosts Business Performance - LinkedIn,https://www.linkedin.com/posts/boston-consulting-group_hr-can-make-or-break-business-performance-activity-7441785818731573248-95hO,en,,third_party,video;video_transcript,HR can make or break business performance. So it's worth looking at BCG's new matrix for HR leaders. And reading the full report ...
Boston Consulting Group,consulting_company,src_0022,video,Re-Recruiting and Other New HR Strategies You Can't Ignore,https://www.youtube.com/watch?v=hjWR9kcrkD8,en,,third_party,video;video_transcript,"HR is no longer just about managing people—it's about shaping the future of work. Jens Baier, BCG's HR ... Go to channel Boston Consulting Group ..."
Boston Consulting Group,consulting_company,src_0023,video,Boston Consulting Group - Channel - Apple Podcasts,https://podcasts.apple.com/us/channel/boston-consulting-group/id6442746275,en,,third_party,video;video_transcript,Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities.
Boston Consulting Group,consulting_company,src_0024,video,The So What from BCG | Podcast on Spotify,https://open.spotify.com/show/2NSVR7qrAyZ4CaGsnknbBk,en,,third_party,video;video_transcript,Listen to The So What from BCG on Spotify. This podcast from Boston Consulting Group looks around the corner of today's big business and social issues.
Boston Consulting Group,consulting_company,src_0025,web,The So What: A Business Strategy Podcast | BCG,https://www.bcg.com/podcasts/the-so-what,en,,third_party,video;video_transcript,"This Boston Consulting Group podcast series looks around the corner of today’s big business and social issues. The goal—the so what—is to make sense of today and prepare busy leaders and executives for the day after tomorrow. Award-winning British journalist Georgie Frost interviews the leading thinkers and doers at BCG on the trends, developments, and ideas that will shape and disrupt the future. Topics range from geopolitics, AI, and business resilience to strategic leadership. This is not you"
Boston Consulting Group,consulting_company,src_0026,video,High-Performing Leadership Tea… - The So What from BCG - Apple Podcasts,https://podcasts.apple.com/us/podcast/high-performing-leadership-teams-are-built-not-bought/id1591194141?i=1000751310463,en,,third_party,video;video_transcript,"High-Performing Leadership Tea… - The So What from BCG - Apple Podcasts # High-Performing Leadership Teams Are Built, Not Bought The So What from BCG What makes a leadership team truly high performing, and why does it matter for the entire organization? Judith Wallenstein, CEO Advisory Global Lead of BCG, and Khadija Ben Hammada, Chief People Officer of Merck KGaA, Darmstadt, Germany, explore this topic and more. They share how CEOs can build executive teams grounded in trust, purpose, and psych"
Boston Consulting Group,consulting_company,src_0027,web,"High-Performing Leadership Teams Are Built, Not Bought - The So What from BCG",https://the-so-what-from-bcg.captivate.fm/episode/high-performing-leadership-teams-are-built-not-bought,en,,third_party,video;video_transcript,"High-Performing Leadership Teams Are Built, Not Bought - The So What from BCG What makes a leadership team truly high performing, and why does it matter for the entire organization? Judith Wallenstein, CEO Advisory Global Lead of BCG, and Khadija Ben Hammada, Chief People Officer of Merck KGaA, Darmstadt, Germany, explore this topic and more. They share how CEOs can build executive teams grounded in trust, purpose, and psychological safety. When the top team clicks, the whole company moves faste"
Boston Consulting Group,consulting_company,src_0028,web,Re-Recruiting and Other New HR Strategies You Can't Ignore,https://the-so-what-from-bcg.captivate.fm/episode/re-recruiting-and-other-new-hr-strategies-you-cant-ignore,en,,third_party,video;video_transcript,"Re-Recruiting and Other New HR Strategies You Can’t Ignore - The So What from BCG HR is no longer just about managing people—it’s about shaping the future of work. Jens Baier, BCG’s HR transformation expert, discusses how AI and shifting employee expectations are forcing companies to rethink talent strategies. From re-recruiting to upskilling employees, HR must adapt to a rapidly changing landscape. Decoding Global Talent The So What from BCG This podcast from Boston Consulting Group looks aroun"
Boston Consulting Group,consulting_company,src_0029,video,Re-Recruiting and Other New HR Strategies You Can’t Ignore,https://podcasts.apple.com/bw/podcast/re-recruiting-and-other-new-hr-strategies-you-cant-ignore/id1591194141?i=1000696089146,en,,third_party,video;video_transcript,"Re-Recruiting and Other New HR…–The So What from BCG –Apple Podcasts 26 FEB S1, E87 18 MIN # Re-Recruiting and Other New HR Strategies You Can’t Ignore The So What from BCG Play The So What from BCG HR is no longer just about managing people—it’s about shaping the future of work. Jens Baier, BCG’s HR transformation expert, discusses how AI and shifting employee expectations are forcing companies to rethink talent strategies. From re-recruiting to upskilling employees, HR must adapt to a rapidly "
Boston Consulting Group,consulting_company,src_0030,web,bcg - Instagram,https://www.instagram.com/reel/DIZIYGHsKSu/,en,,third_party,video;video_transcript,"' KARIN VON FUNCK MANAGING DIRECTOR AND SENIOR PARTNER Ο . BCG PODCASTS "" But here's the secret: successful companies do use cost transformation ..."
Boston Consulting Group,consulting_company,src_0031,web,Organization Design Consulting and Strategy | BCG,https://www.bcg.com/capabilities/organization-strategy/organization-design,en,,third_party,video;video_transcript,"Organization Design Consulting and Strategy | BCG # Organization Design ## BCG’s approach to organization design starts with a single premise: changing a company’s performance requires changing the organizational context in which its employees perform. What happens in a company is not simply a matter of organization structure and design, processes, and systems but also one of behavior—that is, how people act, interact, and make decisions. To address this underlying driver of performance, BCG app"
